"Pollutant","Country.Name","Unit","EEA.Sector","EEA.Sub.Sector","Column","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"NOx","Spain","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",25,25,25,25,25,25,26,26,26,26,27,26
"NOx","Spain","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",84,132,148,103,115,124,92,87,61,43,31,31
"NOx","Spain","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",24,24,24,21,19,19,17,17,16,14,10,11
"NOx","Spain","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",108,102,91,78,78,78,78,79,83,82,77,80
"NOx","Spain","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",54,45,44,34,29,31,34,35,35,37,30,31
"NOx","Spain","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",38,35,34,31,28,29,27,28,30,28,27,28
"NOx","Spain","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",36,32,29,19,16,18,17,19,20,20,12,13
"NOx","Spain","Gg (1000 tonnes)","Transport","Road-transport","Emissions",363,343,316,306,302,304,299,292,283,268,213,230
"NOx","Spain","Gg (1000 tonnes)","Waste","Waste management","Emissions",51,54,35,62,40,52,51,48,65,47,58,58
"NOx","Sweden","Gg (1000 tonnes)","Agriculture","Crops","Emissions",9,9,8,8,9,10,10,10,10,10,11,10
"NOx","Sweden","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",4,3,3,3,3,3,3,3,3,3,3,3
"NOx","Sweden","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",15,12,12,12,11,11,12,12,12,12,11,13
"NOx","Sweden","Gg (1000 tonnes)","Energy supply","Fuel processing","Emissions",0,0,0,0,0,0,0,0,0,0,0,0
"NOx","Sweden","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",2,2,2,1,1,2,1,1,1,1,1,1
"NOx","Sweden","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",7,7,7,7,7,7,6,6,6,5,5,5
"NOx","Sweden","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",21,21,20,20,19,19,19,20,20,20,19,19
"NOx","Sweden","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",5,5,5,5,5,4,5,5,4,4,4,4
"NOx","Sweden","Gg (1000 tonnes)","Transport","Non-road transport","Emissions",30,30,28,27,27,26,25,24,24,23,21,20
"NOx","Sweden","Gg (1000 tonnes)","Transport","Road-transport","Emissions",77,74,71,69,68,65,62,58,54,47,41,39
"NOx","Sweden","Gg (1000 tonnes)","Waste","Waste management","Emissions",0,0,0,0,0,0,0,0,0,0,0,0
"PM2.5","France","Gg (1000 tonnes)","Agriculture","Crops","Emissions",5.1,4.8,4.7,4.3,4.2,4.1,3.6,3.8,3.5,3.6,3.3,3.4
"PM2.5","France","Gg (1000 tonnes)","Agriculture","Energy use","Emissions",11.1,10.2,8.8,8.3,7.4,6.4,5.1,4.5,4.1,3.7,3.8,3.4
"PM2.5","France","Gg (1000 tonnes)","Agriculture","Livestock","Emissions",4.6,4.6,4.6,4.7,4.7,4.7,4.6,4.6,4.7,4.7,4.8,4.9
"PM2.5","France","Gg (1000 tonnes)","Energy supply","Energy production","Emissions",1.9,1.6,2.4,2.4,1.4,1.6,1.5,1.7,1.3,1.3,1.2,1.5
"PM2.5","France","Gg (1000 tonnes)","Energy supply","Fuel processing","Emissions",0.2,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.2
"PM2.5","France","Gg (1000 tonnes)","Energy supply","Fuel production and  processing","Emissions",0.9,0.8,0.7,0.5,0.5,0.5,0.5,0.4,0.3,0.3,0.2,0.2
"PM2.5","France","Gg (1000 tonnes)","Energy supply","Other energy","Emissions",0,0,0,0,0,0,0,0,0,0,0,0
"PM2.5","France","Gg (1000 tonnes)","Manufacturing and extractive industry","Heavy industry","Emissions",11.3,9.8,9.1,9.6,9.9,9.5,9.6,9.9,9,8.4,7.4,8.1
"PM2.5","France","Gg (1000 tonnes)","Manufacturing and extractive industry","Light industry","Emissions",6.7,5.2,5.3,5.4,4.8,5.3,5.2,5.1,5.1,4.7,4.5,4.4
"PM2.5","France","Gg (1000 tonnes)","Residential, commercial & institutional","Residential, commercial & institutional","Emissions",195.9,153.8,169.3,175.6,138.6,144,151.9,143.3,134.2,131.9,116.3,129.1
